nst_level,nst_code,nst_label,pad_category,pad_category_label,confidence,evidence_level,validation_status,requires_operator_validation,notes,source_document,source_reference
group,07.3,"Gaseous, liquefied or compressed petroleum products",T06,"Gasoil, fuel oil, diesel, butane en vrac, phosphates",0.55,expert_rule,candidate,True,"Produits petroliers gazeux, liquefies ou comprimes -> T06 : T06 = gasoil, fuel oil, diesel, butane en vrac. Le butane est un gaz petrolier liquefie, explicitement dans T06.",PAD_NST_RECOMMENDATION_ENGINE.md,"Label PAD T06 = 'Gasoil, fuel oil, diesel, butane en vrac, phosphates'"
group,07.4,Solid or waxy refined petroleum products,T11,"Pétrole brut, essences, bitumes, hydrocarbures raffinés",0.5,expert_rule,candidate,True,"Produits petroliers solides ou cireux -> T11 : T11 = petrole brut, essences, bitumes, hydrocarbures raffines. Les bitumes (solides/cireux) sont explicitement dans le label T11.",PAD_NST_RECOMMENDATION_ENGINE.md,Label PAD T11
group,08.1,Basic mineral chemical products,T03,"Acides, sucres et matières premières",0.55,expert_rule,candidate,True,"Produits chimiques mineraux de base -> T03 : T03 = acides, sucres et matieres premieres. Les acides (sulfurique, chlorhydrique) sont des chimiques mineraux de base, explicitement dans le label T03.",PAD_NST_RECOMMENDATION_ENGINE.md,"Label PAD T03 = 'Acides, sucres et matieres premieres'"
group,08.2,Basic organic chemical products,T03,"Acides, sucres et matières premières",0.45,expert_rule,candidate,True,"Produits chimiques organiques de base -> T03 : matieres premieres chimiques. Les solvants, alcools industriels sont des matieres premieres. Ambiguite possible avec T12 pour les produits chimiques finis.",PAD_NST_RECOMMENDATION_ENGINE.md,Section 6 — Rapprochement indicatif NST -> familles PAD (lignes 412-433)
group,08.3,Nitrogen compounds and fertilizers (except natural fertilizers),T08,"Attapulgite, phosphates, ferrailles, tourteaux, cellulose",0.5,expert_rule,candidate,True,"Composes azotes et engrais -> T08 : T08 = attapulgite, phosphates, ferrailles, tourteaux, cellulose. Les engrais chimiques et composes azotes se rapprochent des phosphates/mineraux de T08.",PAD_NST_RECOMMENDATION_ENGINE.md,Label PAD T08
group,08.4,Basic plastics and synthetic rubber in primary forms,T03,"Acides, sucres et matières premières",0.45,expert_rule,candidate,True,"Plastiques de base et caoutchouc synthetique en formes primaires -> T03 : T03 = matieres premieres. Les resines, granules plastiques bruts sont des matieres premieres industrielles.",PAD_NST_RECOMMENDATION_ENGINE.md,Section 6 — Rapprochement indicatif NST -> familles PAD (lignes 412-433)
group,08.4,Basic plastics and synthetic rubber in primary forms,T12,Matériaux et produits manufacturés,0.4,expert_rule,candidate,True,"Plastiques de base -> T12 : T12 = materiaux et produits manufactures. Si le plastique est sous forme semi-finie (plaques, films), il peut relever de T12. Conflit 08.4 : T03 (matiere premiere brute) vs T12 (semi-fini). Validation operateur necessaire.",PAD_NST_RECOMMENDATION_ENGINE.md,Section 6 — Rapprochement indicatif NST -> familles PAD (lignes 412-433)
group,08.5,Pharmaceuticals and parachemicals including pesticides and other agro-chemical products,T01,"Biens de valeur, électronique, informatique et mobilier",0.45,expert_rule,candidate,True,Produits pharmaceutiques et parachemiques -> T01 : T01 = biens de valeur. Les medicaments sont des produits de haute valeur. Alias PAD pertinents sous T01. Ambiguite avec T02 pour les produits parachemiques courants.,PAD_NST_RECOMMENDATION_ENGINE.md,Section 6 — Rapprochement indicatif NST -> familles PAD (lignes 412-433)
group,08.5,Pharmaceuticals and parachemicals including pesticides and other agro-chemical products,T02,Marchandises générales,0.35,expert_rule,candidate,True,"Produits parachemiques, pesticides -> T02 : marchandises generales. Les pesticides et produits agro-chimiques courants peuvent relever de T02. Candidate secondaire.",PAD_NST_RECOMMENDATION_ENGINE.md,Section 6 — Rapprochement indicatif NST -> familles PAD (lignes 412-433)
group,08.6,Rubber or plastic products,T12,Matériaux et produits manufacturés,0.5,expert_rule,candidate,True,"Produits en caoutchouc ou plastique -> T12 : T12 = materiaux et produits manufactures. Les pneus, tuyaux PVC, articles plastiques finis sont des produits manufactures.",PAD_NST_RECOMMENDATION_ENGINE.md,Section 6 — Rapprochement indicatif NST -> familles PAD (lignes 412-433)
group,08.7,Nuclear fuel,T03,"Acides, sucres et matières premières",0.25,expert_rule,candidate,True,Combustible nucleaire -> T03 : matieres premieres specialisees. Extremement rare a Dakar. Theorique uniquement. Confidence minimale.,PAD_NST_RECOMMENDATION_ENGINE.md,Section 6 — Rapprochement indicatif NST -> familles PAD (lignes 412-433)
group,09.1,"Glass and glass products, ceramic and porcelain products",T12,Matériaux et produits manufacturés,0.45,expert_rule,candidate,True,"Verre, ceramique, porcelaine -> T12 : T12 = materiaux et produits manufactures. Les produits en verre et ceramique sont des produits manufactures.",PAD_NST_RECOMMENDATION_ENGINE.md,Section 6 — Rapprochement indicatif NST -> familles PAD (lignes 412-433)
group,09.2,"Cement, lime and plaster",T05,"Céréales, ciment, riz et produits assimilés",0.6,expert_rule,candidate,True,"Ciment, chaux, platre -> T05 : T05 = cereales, ciment, riz et produits assimiles. Le ciment est explicitement dans le label T05. Match direct.",PAD_NST_RECOMMENDATION_ENGINE.md,"Label PAD T05 = 'Cereales, ciment, riz et produits assimiles'"
group,09.2,"Cement, lime and plaster",T07,"Clinker, farine, charbon, sable et vracs pondéreux",0.45,expert_rule,candidate,True,"Ciment -> T07 : T07 = clinker, farine, charbon, sable et vracs pondereux. Le clinker (matiere premiere du ciment) est dans T07. Conflit T05/T07 : depend si ciment fini (T05) ou clinker/vrac (T07). Validation operateur necessaire.",PAD_NST_RECOMMENDATION_ENGINE.md,Label PAD T07
group,09.3,"Other construction materials, manufactures",T07,"Clinker, farine, charbon, sable et vracs pondéreux",0.4,expert_rule,candidate,True,"Materiaux de construction en vrac -> T07 : T07 = vracs pondereux. Si les materiaux sont en vrac (graviers, agregats), ils relevent de T07. Candidate secondaire, depend du conditionnement.",PAD_NST_RECOMMENDATION_ENGINE.md,Section 6 — Rapprochement indicatif NST -> familles PAD (lignes 412-433)
group,09.3,"Other construction materials, manufactures",T12,Matériaux et produits manufacturés,0.45,expert_rule,candidate,True,"Autres materiaux de construction manufactures -> T12 : T12 = materiaux et produits manufactures. Carrelage, briques, tuiles sont des materiaux de construction manufactures.",PAD_NST_RECOMMENDATION_ENGINE.md,Section 6 — Rapprochement indicatif NST -> familles PAD (lignes 412-433)
group,10.1,Basic iron and steel and ferro-alloys and products of the first processing of iron and steel (except tubes),T14,Fil machine et feuillard,0.6,nstr_bridge_inferred,candidate,True,"Fer, acier de base, ferro-alliages et produits de premiere transformation -> T14 : T14 = fil machine et feuillard. Les produits siderurgiques de premiere transformation (barres, billettes, fil machine) correspondent directement a T14. Le pont NSTR->NST2007 (1039 mappings pour division 10) confirme la convergence des codes NSTR siderurgiques historiques vers NST 10.1.","nstr_nst2007_mappings (DB table, 9776 non-quarantined rows)",1039 mappings NSTR division 10 + label PAD T14
group,10.2,Non ferrous metals and products thereof,T12,Matériaux et produits manufacturés,0.45,expert_rule,candidate,True,"Metaux non ferreux et produits derives -> T12 : T12 = materiaux et produits manufactures. Les metaux non ferreux transformes (aluminium, cuivre en plaques/fils) sont des materiaux manufactures.",PAD_NST_RECOMMENDATION_ENGINE.md,Section 6 — Rapprochement indicatif NST -> familles PAD (lignes 412-433)
group,10.3,"Tubes, pipes, hollow profiles and related fittings",T12,Matériaux et produits manufacturés,0.5,expert_rule,candidate,True,"Tubes, tuyaux, profiles creux -> T12 : T12 = materiaux et produits manufactures. Les tubes et profiles metalliques sont des produits manufactures.",PAD_NST_RECOMMENDATION_ENGINE.md,Section 6 — Rapprochement indicatif NST -> familles PAD (lignes 412-433)
group,10.4,Structural metal products,T12,Matériaux et produits manufacturés,0.5,expert_rule,candidate,True,"Produits metalliques structurels -> T12 : T12 = materiaux et produits manufactures. Les charpentes, pylones, structures metalliques sont des materiaux manufactures.",PAD_NST_RECOMMENDATION_ENGINE.md,Section 6 — Rapprochement indicatif NST -> familles PAD (lignes 412-433)
group,10.5,"Boilers, hardware, weapons and other fabricated metal products",T01,"Biens de valeur, électronique, informatique et mobilier",0.3,expert_rule,candidate,True,Armes -> T01 : T01 = biens de valeur. Un alias PAD existant classe 'armurerie' sous T01. Candidate secondaire uniquement pour la composante armes du groupe 10.5.,PAD_NST_RECOMMENDATION_ENGINE.md,Alias PAD existant : 'armurerie' -> T01
group,10.5,"Boilers, hardware, weapons and other fabricated metal products",T12,Matériaux et produits manufacturés,0.45,expert_rule,candidate,True,"Chaudieres, quincaillerie, armes, autres produits metalliques -> T12 : produits manufactures. Ambiguite avec T01 pour les armes (biens de valeur). Confidence moyenne.",PAD_NST_RECOMMENDATION_ENGINE.md,Section 6 — Rapprochement indicatif NST -> familles PAD (lignes 412-433)
group,11.1,Agricultural and forestry machinery,T09,"Tracteurs, véhicules industriels et matériel de transport",0.55,expert_rule,candidate,True,"Machines agricoles et forestieres -> T09 : T09 = tracteurs, vehicules industriels et materiel de transport. Les tracteurs agricoles sont explicitement dans le label T09. Match direct.",PAD_NST_RECOMMENDATION_ENGINE.md,"Label PAD T09 = 'Tracteurs, vehicules industriels et materiel de transport'"
group,11.2,Domestic appliances n.e.c. (White goods),T01,"Biens de valeur, électronique, informatique et mobilier",0.45,expert_rule,candidate,True,"Appareils menagers (electromenager blanc) -> T01 : T01 = biens de valeur, electronique, informatique et mobilier. L'electromenager est un bien de valeur. Ambiguite possible avec T12 pour les petits appareils courants.",PAD_NST_RECOMMENDATION_ENGINE.md,Label PAD T01
group,11.3,Office machinery and computers,T01,"Biens de valeur, électronique, informatique et mobilier",0.6,expert_rule,candidate,True,"Machines de bureau et ordinateurs -> T01 : T01 = biens de valeur, electronique, informatique et mobilier. L'informatique est explicitement dans le label T01. Alias PAD existants : 'mat informatique ordinateurs'. Match direct fort.",PAD_NST_RECOMMENDATION_ENGINE.md,Label PAD T01 + alias PAD 'mat informatique ordinateurs' -> T01
group,11.4,Electric machinery and apparatus n.e.c.,T01,"Biens de valeur, électronique, informatique et mobilier",0.45,expert_rule,candidate,True,Machines et appareils electriques NDA -> T01 : T01 = electronique. Les appareils electriques sont assimiles a l'electronique au sens PAD. Ambiguite avec T12 pour les equipements electriques industriels.,PAD_NST_RECOMMENDATION_ENGINE.md,Section 6 — Rapprochement indicatif NST -> familles PAD (lignes 412-433)
group,11.4,Electric machinery and apparatus n.e.c.,T12,Matériaux et produits manufacturés,0.35,expert_rule,candidate,True,"Machines electriques industrielles -> T12 : T12 = materiaux et produits manufactures. Les moteurs, transformateurs industriels peuvent relever de T12. Candidate secondaire.",PAD_NST_RECOMMENDATION_ENGINE.md,Section 6 — Rapprochement indicatif NST -> familles PAD (lignes 412-433)
group,11.5,Electronic components and emission and transmission appliances,T01,"Biens de valeur, électronique, informatique et mobilier",0.55,expert_rule,candidate,True,"Composants electroniques, appareils d'emission/transmission -> T01 : T01 = biens de valeur, electronique. Les composants electroniques sont des biens de valeur.",PAD_NST_RECOMMENDATION_ENGINE.md,Label PAD T01
group,11.6,Television and radio receivers; sound or video recording or reproducing apparatus and associated goods (Brown goods),T01,"Biens de valeur, électronique, informatique et mobilier",0.6,expert_rule,candidate,True,"TV, radio, appareils audio/video -> T01 : T01 = biens de valeur, electronique. Alias PAD existants : 'electrophones chaines hifi', 'magnetophones magnetoscopes tv'. Match direct.",PAD_NST_RECOMMENDATION_ENGINE.md,"Alias PAD : 'electrophones chaines hifi' -> T01, 'magnetophones magnetoscopes tv' -> T01"
group,11.7,"Medical, precision and optical instruments, watches and clocks",T01,"Biens de valeur, électronique, informatique et mobilier",0.55,expert_rule,candidate,True,"Instruments medicaux, de precision, optiques, horlogerie -> T01 : T01 = biens de valeur. Alias PAD existants : 'horlogerie', 'instruments de mesure', 'appareils scientifiques'. Match direct.",PAD_NST_RECOMMENDATION_ENGINE.md,"Alias PAD : 'horlogerie' -> T01, 'instruments de mesure' -> T01"
group,11.8,"Other machines, machine tools and parts",T09,"Tracteurs, véhicules industriels et matériel de transport",0.45,expert_rule,candidate,True,"Autres machines, machines-outils et pieces -> T09 : T09 = vehicules industriels et materiel de transport. Les machines-outils industrielles se rapprochent du materiel industriel de T09.",PAD_NST_RECOMMENDATION_ENGINE.md,Section 6 — Rapprochement indicatif NST -> familles PAD (lignes 412-433)
group,11.8,"Other machines, machine tools and parts",T12,Matériaux et produits manufacturés,0.4,expert_rule,candidate,True,Machines-outils et pieces -> T12 : T12 = materiaux et produits manufactures. Les pieces detachees et petites machines sont des produits manufactures. Candidate secondaire.,PAD_NST_RECOMMENDATION_ENGINE.md,Section 6 — Rapprochement indicatif NST -> familles PAD (lignes 412-433)
group,12.1,Automobile industry products,T09,"Tracteurs, véhicules industriels et matériel de transport",0.6,nstr_bridge_inferred,candidate,True,"Produits de l'industrie automobile -> T09 : T09 = tracteurs, vehicules industriels et materiel de transport. Les vehicules automobiles correspondent directement a T09. Le pont NSTR->NST2007 (312 mappings pour division 12) confirme la convergence des codes NSTR transport vers NST 12.1.","nstr_nst2007_mappings (DB table, 9776 non-quarantined rows)",312 mappings NSTR division 12 + label PAD T09
group,12.2,Other transport equipment,T09,"Tracteurs, véhicules industriels et matériel de transport",0.55,expert_rule,candidate,True,"Autres materiels de transport -> T09 : T09 = materiel de transport. Les navires, avions, wagons, remorques sont du materiel de transport.",PAD_NST_RECOMMENDATION_ENGINE.md,Label PAD T09
group,13.1,Furniture,T01,"Biens de valeur, électronique, informatique et mobilier",0.55,expert_rule,candidate,True,"Meubles -> T01 : T01 = biens de valeur, electronique, informatique et mobilier. Le mobilier est explicitement dans le label T01. Match direct.",PAD_NST_RECOMMENDATION_ENGINE.md,"Label PAD T01 = 'Biens de valeur, electronique, informatique et mobilier'"
group,13.2,Other manufactured goods,T01,"Biens de valeur, électronique, informatique et mobilier",0.35,expert_rule,candidate,True,"Produits manufactures de valeur -> T01 : T01 = biens de valeur. Certains articles (bijouterie vraie, instruments de musique) sont classes T01 par alias PAD existants. Candidate secondaire, depend du produit exact.",PAD_NST_RECOMMENDATION_ENGINE.md,"Alias PAD : 'bijouterie sauf bijouterie fantaisie' -> T01, 'instruments de musique' -> T01"
group,13.2,Other manufactured goods,T12,Matériaux et produits manufacturés,0.45,expert_rule,candidate,True,"Autres produits manufactures -> T12 : T12 = materiaux et produits manufactures. Les produits manufactures divers (jouets, articles de sport, bijouterie fantaisie) relevent de T12.",PAD_NST_RECOMMENDATION_ENGINE.md,Section 6 — Rapprochement indicatif NST -> familles PAD (lignes 412-433)
group,14.1,Household and municipal waste,T08,"Attapulgite, phosphates, ferrailles, tourteaux, cellulose",0.35,expert_rule,candidate,True,Dechets menagers et municipaux -> T08 : T08 inclut ferrailles. Les dechets metalliques menagers pourraient relever de T08. Tres ambigu : les dechets municipaux non metalliques n'ont pas de categorie PAD claire. Confidence faible.,PAD_NST_RECOMMENDATION_ENGINE.md,Section 6 — Rapprochement indicatif NST -> familles PAD (lignes 412-433)
group,14.2,Other waste and secondary raw materials,T08,"Attapulgite, phosphates, ferrailles, tourteaux, cellulose",0.5,nstr_bridge_inferred,candidate,True,"Autres dechets et matieres premieres secondaires -> T08 : T08 = attapulgite, phosphates, ferrailles, tourteaux, cellulose. Les ferrailles (matiere premiere secondaire) sont explicitement dans T08. Le pont NSTR->NST2007 (118 mappings pour division 14) confirme la convergence des codes NSTR dechets/ferrailles vers NST 14.2.","nstr_nst2007_mappings (DB table, 9776 non-quarantined rows)",118 mappings NSTR division 14 + label PAD T08
group,16.1,"Containers and swap bodies in service, empty",T09,"Tracteurs, véhicules industriels et matériel de transport",0.45,expert_rule,candidate,True,"Conteneurs et caisses mobiles en service, vides -> T09 : T09 = materiel de transport. Les conteneurs en service sont du materiel de transport. Note : categorie PAD potentiellement non applicable car les conteneurs vides ne sont pas toujours soumis au droit de passage.",PAD_NST_RECOMMENDATION_ENGINE.md,Label PAD T09
group,17.1,Household removal,T02,Marchandises générales,0.35,expert_rule,candidate,True,Demenagement -> T02 : marchandises generales. Les effets personnels de demenagement sont classes marchandises generales. Usage peu frequent en conteneur maritime a Dakar.,PAD_NST_RECOMMENDATION_ENGINE.md,Section 6 — Rapprochement indicatif NST -> familles PAD (lignes 412-433)
group,17.5,Other non market goods n.e.c.,T02,Marchandises générales,0.25,expert_rule,candidate,True,Autres marchandises non marchandes NDA -> T02 : marchandises generales par defaut. Categorie residuelle tres vague. Confidence minimale.,PAD_NST_RECOMMENDATION_ENGINE.md,Section 6 — Rapprochement indicatif NST -> familles PAD (lignes 412-433)
