raw_designation,normalized_term,pad_category,source_section,source_page,status,commodity_category_present,tariff_confirmed_by_smoke_test,injection_note
"BOIS TRAVAILLES, CONTRE PLAQUES, PLAQUAGES",bois travailles contre plaques plaquages,T04,2.3.1,8,new,True,False,Catégorie T04 présente dans commodity_categories mais tarif PAD non confirmé par smoke test — à vérifier en DB
BOISSONS NON ALCOOLISEES,boissons non alcoolisees,T04,2.3.2,17,new,True,False,Catégorie T04 présente dans commodity_categories mais tarif PAD non confirmé par smoke test — à vérifier en DB
BOISSONS NON ALCOOLISEES NDA,boissons non alcoolisees nda,T04,2.3.1,9,new,True,False,Catégorie T04 présente dans commodity_categories mais tarif PAD non confirmé par smoke test — à vérifier en DB
"CONFISERIE, BONBONS ET SUCRERIES NDA",confiserie bonbons et sucreries nda,T04,2.3.1,9,new,True,False,Catégorie T04 présente dans commodity_categories mais tarif PAD non confirmé par smoke test — à vérifier en DB
EAU MINERALE ET NATURELLE,eau minerale et naturelle,T04,2.3.1,9,new,True,False,Catégorie T04 présente dans commodity_categories mais tarif PAD non confirmé par smoke test — à vérifier en DB
ENGRAIS NATURELS,engrais naturels,T04,2.3.1,12,new,True,False,Catégorie T04 présente dans commodity_categories mais tarif PAD non confirmé par smoke test — à vérifier en DB
ENGRAIS NDA,engrais nda,T04,2.3.1,12,new,True,False,Catégorie T04 présente dans commodity_categories mais tarif PAD non confirmé par smoke test — à vérifier en DB
FRIPPERIES ET VETEMENTS USAGERS,fripperies et vetements usagers,T04,2.3.1,15,new,True,False,Catégorie T04 présente dans commodity_categories mais tarif PAD non confirmé par smoke test — à vérifier en DB
GLACES ET SOBRETS,glaces et sobrets,T04,2.3.1,9,new,True,False,Catégorie T04 présente dans commodity_categories mais tarif PAD non confirmé par smoke test — à vérifier en DB
GLACES ET SORBETS,glaces et sorbets,T04,2.3.3,26,new,True,False,Catégorie T04 présente dans commodity_categories mais tarif PAD non confirmé par smoke test — à vérifier en DB
"JUS DE FRUIT, CONCENTRE DE JUS",jus de fruit concentre de jus,T04,2.3.1,9,new,True,False,Catégorie T04 présente dans commodity_categories mais tarif PAD non confirmé par smoke test — à vérifier en DB
JUS DE FRUIT ET NATURELLE,jus de fruit et naturelle,T04,2.3.2,19,new,True,False,Catégorie T04 présente dans commodity_categories mais tarif PAD non confirmé par smoke test — à vérifier en DB
LAIT EN POUDRE,lait en poudre,T04,2.3.1,9,new,True,False,Catégorie T04 présente dans commodity_categories mais tarif PAD non confirmé par smoke test — à vérifier en DB
MIEL,miel,T04,2.3.1,9,new,True,False,Catégorie T04 présente dans commodity_categories mais tarif PAD non confirmé par smoke test — à vérifier en DB
OIGNONS COMESTIBLES,oignons comestibles,T04,2.3.1,8,new,True,False,Catégorie T04 présente dans commodity_categories mais tarif PAD non confirmé par smoke test — à vérifier en DB
POISSONS SALES SECHES,poissons sales seches,T04,2.3.1,9,new,True,False,Catégorie T04 présente dans commodity_categories mais tarif PAD non confirmé par smoke test — à vérifier en DB
POMME DE TERRE ET SEMENCE DE POMME DE TERRE,pomme de terre et semence de pomme de terre,T04,2.3.2,21,new,True,False,Catégorie T04 présente dans commodity_categories mais tarif PAD non confirmé par smoke test — à vérifier en DB
"PORDUITS PHARMACEUTIQUES, MEDICAMENTS",porduits pharmaceutiques medicaments,T04,2.3.1,13,new,True,False,Catégorie T04 présente dans commodity_categories mais tarif PAD non confirmé par smoke test — à vérifier en DB
POTASSE NDA,potasse nda,T04,2.3.1,12,new,True,False,Catégorie T04 présente dans commodity_categories mais tarif PAD non confirmé par smoke test — à vérifier en DB
ACIDE PHOSPHORIQUE ICS,acide phosphorique ics,T05,2.3.1,13,new,True,True,OK — catégorie confirmée par smoke test
BLE (WHEAT ANGLAIS),ble wheat anglais,T05,2.3.1,8,new,True,True,OK — catégorie confirmée par smoke test
CÉRÉALES NDA (2),cereales nda 2,T05,2.3.2,17,new,True,True,OK — catégorie confirmée par smoke test
CÉRÉALES NDA(2),cereales nda2,T05,2.3.1,8,new,True,True,OK — catégorie confirmée par smoke test
CIMENT,ciment,T05,2.3.1,12,new,True,True,OK — catégorie confirmée par smoke test
ENGRAIS ICS,engrais ics,T05,2.3.1,12,new,True,True,OK — catégorie confirmée par smoke test
"HOUBLON, GRUAUX, MALT",houblon gruaux malt,T05,2.3.1,10,new,True,True,OK — catégorie confirmée par smoke test
MAIS ET FARINE DE MAIS,mais et farine de mais,T05,2.3.1,8,new,True,True,OK — catégorie confirmée par smoke test
"MIL, SORGO",mil sorgo,T05,2.3.1,8,new,True,True,OK — catégorie confirmée par smoke test
PLATRE EN SAC,platre en sac,T05,2.3.1,12,new,True,True,OK — catégorie confirmée par smoke test
POTASSE ICS,potasse ics,T05,2.3.1,12,new,True,True,OK — catégorie confirmée par smoke test
PRODUITS ICS NDA,produits ics nda,T05,2.3.1,12,new,True,True,OK — catégorie confirmée par smoke test
SOUFFRE ICS,souffre ics,T05,2.3.1,11,new,True,True,OK — catégorie confirmée par smoke test
SOUFRE ICS,soufre ics,T05,2.3.2,21,new,True,True,OK — catégorie confirmée par smoke test
"ALIMENT DE BETAIL, SON ET TOURTERAUX NDA",aliment de betail son et tourteraux nda,T07,2.3.2,16,new,True,True,OK — catégorie confirmée par smoke test
AMIANTE,amiante,T07,2.3.1,12,new,True,True,OK — catégorie confirmée par smoke test
ARACHIDES DECORTIQUEES,arachides decortiquees,T07,2.3.1,10,new,True,True,OK — catégorie confirmée par smoke test
ARGILE ET CRAIE EN POUDRE,argile et craie en poudre,T07,2.3.1,11,new,True,True,OK — catégorie confirmée par smoke test
AUTRES MATIERES TEXTILES NDA,autres matieres textiles nda,T07,2.3.1,8,new,True,True,OK — catégorie confirmée par smoke test
CHARBON,charbon,T07,2.3.2,17,new,True,True,OK — catégorie confirmée par smoke test
CHARBON DE TERRE,charbon de terre,T07,2.3.1,10,new,True,True,OK — catégorie confirmée par smoke test
CHAUX ETEINTE,chaux eteinte,T07,2.3.1,12,new,True,True,OK — catégorie confirmée par smoke test
CHIFFONS ET DECHETS DE TEXTILES,chiffons et dechets de textiles,T07,2.3.1,8,new,True,True,OK — catégorie confirmée par smoke test
CLINKER,clinker,T07,2.3.1,12,new,True,True,OK — catégorie confirmée par smoke test
COKE,coke,T07,2.3.1,10,new,True,True,OK — catégorie confirmée par smoke test
COTON EGRENE EN BALLE OU BIG BAG,coton egrene en balle ou big bag,T07,2.3.1,8,new,True,True,OK — catégorie confirmée par smoke test
FARINE DE BLE,farine de ble,T07,2.3.1,10,new,True,True,OK — catégorie confirmée par smoke test
FARINE DE POISSON,farine de poisson,T07,2.3.2,18,new,True,True,OK — catégorie confirmée par smoke test
GRAINES DE TOURNESOL ET GRAINES OLEAGINEUX NDA,graines de tournesol et graines oleagineux nda,T07,2.3.2,19,new,True,True,OK — catégorie confirmée par smoke test
GRAINES ET SEMENCES NDA (sauf semences de pom.de terres),graines et semences nda sauf semences de pomde terres,T07,2.3.2,19,new,True,True,OK — catégorie confirmée par smoke test
GRAINES ET SEMENCES NDA (sauf semences de pomme de terres),graines et semences nda sauf semences de pomme de terres,T07,2.3.3,27,new,True,True,OK — catégorie confirmée par smoke test
GRAINES ET SEMENCES NDA (sauf semences de pommes de terres),graines et semences nda sauf semences de pommes de terres,T07,2.3.1,8,new,True,True,OK — catégorie confirmée par smoke test
GYPSE,gypse,T07,2.3.1,12,new,True,True,OK — catégorie confirmée par smoke test
MELASSE DE CANNE,melasse de canne,T07,2.3.1,9,new,True,True,OK — catégorie confirmée par smoke test
MINERAIS BRUTS,minerais bruts,T07,2.3.1,11,new,True,True,OK — catégorie confirmée par smoke test
OLEAGINEUX NDA,oleagineux nda,T07,2.3.1,10,new,True,True,OK — catégorie confirmée par smoke test
"SABLE, PIERRES DE CONSTRUCTION",sable pierres de construction,T07,2.3.1,11,new,True,True,OK — catégorie confirmée par smoke test
"SABLE, PIERRES DE CONSTRUCTIONS",sable pierres de constructions,T07,2.3.3,27,new,True,True,OK — catégorie confirmée par smoke test
SEMOULE ET AUTRES FARINE DE CERALES NDA,semoule et autres farine de cerales nda,T07,2.3.1,10,new,True,True,OK — catégorie confirmée par smoke test
SEMOULE ET AUTRES FARINES DE CERALES NDA,semoule et autres farines de cerales nda,T07,2.3.2,21,new,True,True,OK — catégorie confirmée par smoke test
TERRES REFRACRTAIRE,terres refracrtaire,T07,2.3.3,27,new,True,True,OK — catégorie confirmée par smoke test
TERRES REFRACRTAIRES,terres refracrtaires,T07,2.3.1,12,new,True,True,OK — catégorie confirmée par smoke test
"AVION, HELICOPTERE, EMBARCATION",avion helicoptere embarcation,T09,2.3.1,14,new,True,False,Catégorie T09 présente dans commodity_categories mais tarif PAD non confirmé par smoke test — à vérifier en DB
MATERIEL DE CHANTIER,materiel de chantier,T09,2.3.1,15,new,True,False,Catégorie T09 présente dans commodity_categories mais tarif PAD non confirmé par smoke test — à vérifier en DB
TRACTEURS AGRICOLES,tracteurs agricoles,T09,2.3.1,14,new,True,False,Catégorie T09 présente dans commodity_categories mais tarif PAD non confirmé par smoke test — à vérifier en DB
VEHICULE ET MATERIEL DE TRANSPORT NDA,vehicule et materiel de transport nda,T09,2.3.1,14,new,True,False,Catégorie T09 présente dans commodity_categories mais tarif PAD non confirmé par smoke test — à vérifier en DB
VEHICULES DE CHANTIER ET VEHICULES INDUSTRIELS,vehicules de chantier et vehicules industriels,T09,2.3.1,14,new,True,False,Catégorie T09 présente dans commodity_categories mais tarif PAD non confirmé par smoke test — à vérifier en DB
"VEHICULES ROULIER DE 1,5 A 2,5 T",vehicules roulier de 15 a 25 t,T09,2.3.1,14,new,True,False,Catégorie T09 présente dans commodity_categories mais tarif PAD non confirmé par smoke test — à vérifier en DB
"VEHICULES ROUTIER DE 1,5 A 2,5 T",vehicules routier de 15 a 25 t,T09,2.3.2,22,new,True,False,Catégorie T09 présente dans commodity_categories mais tarif PAD non confirmé par smoke test — à vérifier en DB
A BETON,a beton,T12,2.3.1,11,new,True,True,OK — catégorie confirmée par smoke test
ACIDE NDA,acide nda,T12,2.3.1,13,new,True,True,OK — catégorie confirmée par smoke test
ACIDE PHOSPHORIQUE NDA,acide phosphorique nda,T12,2.3.1,13,new,True,True,OK — catégorie confirmée par smoke test
ALCCOL INDUSTRIEL,alccol industriel,T12,2.3.1,13,new,True,True,OK — catégorie confirmée par smoke test
AMIDON,amidon,T12,2.3.1,13,new,True,True,OK — catégorie confirmée par smoke test
ARTICLES DE MANUFACTURES NDA,articles de manufactures nda,T12,2.3.2,16,new,True,True,OK — catégorie confirmée par smoke test
ARTICLES DE PUBLICITE SAUF PAPIER IMPRIME,articles de publicite sauf papier imprime,T12,2.3.1,15,new,True,True,OK — catégorie confirmée par smoke test
ARTICLES EN MATIERES PLASTIQUES NDA,articles en matieres plastiques nda,T12,2.3.2,16,new,True,True,OK — catégorie confirmée par smoke test
ARTICLES EN MATIERES PLASTIQUES NENDA,articles en matieres plastiques nenda,T12,2.3.3,28,new,True,True,OK — catégorie confirmée par smoke test
AUTRES PRODUITS MINERAUX,autres produits mineraux,T12,2.3.2,16,new,True,True,OK — catégorie confirmée par smoke test
AUTRES PRODUITS MINERAUX NDA,autres produits mineraux nda,T12,2.3.1,11,new,True,True,OK — catégorie confirmée par smoke test
BETON,beton,T12,2.3.2,22,new,True,True,OK — catégorie confirmée par smoke test
BEURRE DE KARITE,beurre de karite,T12,2.3.1,10,new,True,True,OK — catégorie confirmée par smoke test
BEURRES DE KARITE,beurres de karite,T12,2.3.2,16,new,True,True,OK — catégorie confirmée par smoke test
BEURRES VEGETALES ET MARGARINES,beurres vegetales et margarines,T12,2.3.2,16,new,True,True,OK — catégorie confirmée par smoke test
BEURRES VEGETAUX ET MARGARINES,beurres vegetaux et margarines,T12,2.3.1,9,new,True,True,OK — catégorie confirmée par smoke test
BIJOUTERIE FANTAISIE (SANS PIERRES NI METAUX PRECIEUX),bijouterie fantaisie sans pierres ni metaux precieux,T12,2.3.2,16,new,True,True,OK — catégorie confirmée par smoke test
BISCUITS,biscuits,T12,2.3.1,10,new,True,True,OK — catégorie confirmée par smoke test
BLEU D’OUTRE MER,bleu doutre mer,T12,2.3.1,13,new,True,True,OK — catégorie confirmée par smoke test
BOUCHONS ET CAPSULES,bouchons et capsules,T12,2.3.1,15,new,True,True,OK — catégorie confirmée par smoke test
BRIQUES REFRACTAIRES,briques refractaires,T12,2.3.1,12,new,True,True,OK — catégorie confirmée par smoke test
CAOUTCHOUC NATUREL,caoutchouc naturel,T12,2.3.1,8,new,True,True,OK — catégorie confirmée par smoke test
CAOUTCHOUC PLAQUE OU ROULEAUX,caoutchouc plaque ou rouleaux,T12,2.3.2,17,new,True,True,OK — catégorie confirmée par smoke test
CAOUTCHOUC PLAQUES OU ROULEAUX,caoutchouc plaques ou rouleaux,T12,2.3.1,15,new,True,True,OK — catégorie confirmée par smoke test
CARTONNAGE EN ROULEAU OU EN PLAQUE,cartonnage en rouleau ou en plaque,T12,2.3.1,15,new,True,True,OK — catégorie confirmée par smoke test
CARTONNAGE EN ROULEAU OU NE PLAQUE,cartonnage en rouleau ou ne plaque,T12,2.3.2,17,new,True,True,OK — catégorie confirmée par smoke test
CHAUFFE EAU ET MATERIELS DE CHAUFFAGE,chauffe eau et materiels de chauffage,T12,2.3.2,17,new,True,True,OK — catégorie confirmée par smoke test
CHAUFFE EEAU ET MATERIELS DE CHAUFFAGE,chauffe eeau et materiels de chauffage,T12,2.3.1,14,new,True,True,OK — catégorie confirmée par smoke test
CHAUX VIVE,chaux vive,T12,2.3.1,12,new,True,True,OK — catégorie confirmée par smoke test
CHLORURE DE POTASSIUM,chlorure de potassium,T12,2.3.1,12,new,True,True,OK — catégorie confirmée par smoke test
"CIRE, CIRAGE",cire cirage,T12,2.3.1,8,new,True,True,OK — catégorie confirmée par smoke test
COFFRE – FORT,coffre fort,T12,2.3.2,17,new,True,True,OK — catégorie confirmée par smoke test
CORDES CORDAGES FICELLES,cordes cordages ficelles,T12,2.3.1,15,new,True,True,OK — catégorie confirmée par smoke test
CUIRS ET PEAUX TRAVAILLEES SAUF MAROQUINERIE,cuirs et peaux travaillees sauf maroquinerie,T12,2.3.2,18,new,True,True,OK — catégorie confirmée par smoke test
CUIRS ET PEAUX TRAVAILLES SAUF MAROQUINERIE,cuirs et peaux travailles sauf maroquinerie,T12,2.3.1,15,new,True,True,OK — catégorie confirmée par smoke test
EMBALLAGES VIDES EN CARTON,emballages vides en carton,T12,2.3.1,15,new,True,True,OK — catégorie confirmée par smoke test
FERREUX NDA,ferreux nda,T12,2.3.1,11,new,True,True,OK — catégorie confirmée par smoke test
FILS ET MATIERES TEXTILES NATURELLES OU ARTIFICIELLES NDA,fils et matieres textiles naturelles ou artificielles nda,T12,2.3.1,15,new,True,True,OK — catégorie confirmée par smoke test
FRUITS FRAIS NDA,fruits frais nda,T12,2.3.1,8,new,True,True,OK — catégorie confirmée par smoke test
FRUITS SECS,fruits secs,T12,2.3.1,8,new,True,True,OK — catégorie confirmée par smoke test
GOMMES VEGETAL,gommes vegetal,T12,2.3.2,19,new,True,True,OK — catégorie confirmée par smoke test
GOMMES VEGETALES,gommes vegetales,T12,2.3.1,8,new,True,True,OK — catégorie confirmée par smoke test
HEXANE,hexane,T12,2.3.1,13,new,True,True,OK — catégorie confirmée par smoke test
HUILES COMESTIBLES EMBALLEES NDA,huiles comestibles emballees nda,T12,2.3.1,10,new,True,True,OK — catégorie confirmée par smoke test
HUILES DE GRAISSAGE ET AUTRES HUILES INDUSTRIELLES NDA,huiles de graissage et autres huiles industrielles nda,T12,2.3.1,11,new,True,True,OK — catégorie confirmée par smoke test
HUILES DE GRAISSAGE ET AUTRESHUILES INDUSTRIELLES NDA,huiles de graissage et autreshuiles industrielles nda,T12,2.3.3,28,new,True,True,OK — catégorie confirmée par smoke test
"INSECTICIDES, PESTICIDES",insecticides pesticides,T12,2.3.1,13,new,True,True,OK — catégorie confirmée par smoke test
LEGUMES SECS,legumes secs,T12,2.3.1,8,new,True,True,OK — catégorie confirmée par smoke test
LEVURES,levures,T12,2.3.1,9,new,True,True,OK — catégorie confirmée par smoke test
MACHINES AGRICOLES,machines agricoles,T12,2.3.1,14,new,True,True,OK — catégorie confirmée par smoke test
MATERIAUX DE CONSTRUCTION ET CARRELAGE NDA,materiaux de construction et carrelage nda,T12,2.3.1,12,new,True,True,OK — catégorie confirmée par smoke test
"MATERIEL SANITAIRE EN FAIENCE, PORCELAINE",materiel sanitaire en faience porcelaine,T12,2.3.1,14,new,True,True,OK — catégorie confirmée par smoke test
MATIERES CHIMIQUES NDA,matieres chimiques nda,T12,2.3.3,28,new,True,True,OK — catégorie confirmée par smoke test
MATIRES CHIMIQUES NDA,matires chimiques nda,T12,2.3.1,13,new,True,True,OK — catégorie confirmée par smoke test
NDA,nda,T12,2.3.2,22,new,True,True,OK — catégorie confirmée par smoke test
NEUTRAL SOLVANT,neutral solvant,T12,2.3.1,13,new,True,True,OK — catégorie confirmée par smoke test
PAPIER BITUME,papier bitume,T12,2.3.1,15,new,True,True,OK — catégorie confirmée par smoke test
PAPIER ET PAPIER KRAFT EN BOBINES > 1T,papier et papier kraft en bobines 1t,T12,2.3.1,15,new,True,True,OK — catégorie confirmée par smoke test
PAPIER ET PAPIER KRAFT EN BOBINNES > 1T,papier et papier kraft en bobinnes 1t,T12,2.3.2,20,new,True,True,OK — catégorie confirmée par smoke test
PARAFFINE,paraffine,T12,2.3.2,20,new,True,True,OK — catégorie confirmée par smoke test
PARAFINE,parafine,T12,2.3.1,13,new,True,True,OK — catégorie confirmée par smoke test
PRODUIT CHIMIQUE DE BASE NDA,produit chimique de base nda,T12,2.3.1,13,new,True,True,OK — catégorie confirmée par smoke test
PRODUITS CHIMIQUES DE BASE NDA,produits chimiques de base nda,T12,2.3.3,29,new,True,True,OK — catégorie confirmée par smoke test
QUINOUELIBA,quinoueliba,T12,2.3.1,9,new,True,True,OK — catégorie confirmée par smoke test
QUINQUELIBA,quinqueliba,T12,2.3.2,21,new,True,True,OK — catégorie confirmée par smoke test
"RECIPIENT VIDE EN VERRE, EN BOIS OU EN FER NDA",recipient vide en verre en bois ou en fer nda,T12,2.3.1,15,new,True,True,OK — catégorie confirmée par smoke test
RESINE SYNTHETIQUE,resine synthetique,T12,2.3.1,13,new,True,True,OK — catégorie confirmée par smoke test
REVETEMENT DE SOL (CARRELAGE) NDA,revetement de sol carrelage nda,T12,2.3.2,21,new,True,True,OK — catégorie confirmée par smoke test
SACS EN JUT OU EN FIBRES VEGETALES,sacs en jut ou en fibres vegetales,T12,2.3.1,15,new,True,True,OK — catégorie confirmée par smoke test
SACS EN JUTE OU EN FIBRES VEGETALES,sacs en jute ou en fibres vegetales,T12,2.3.2,21,new,True,True,OK — catégorie confirmée par smoke test
SACS EN JUTE OU EN FIBRES VEGETALS,sacs en jute ou en fibres vegetals,T12,2.3.3,29,new,True,True,OK — catégorie confirmée par smoke test
SACS EN PROPYLENE,sacs en propylene,T12,2.3.1,15,new,True,True,OK — catégorie confirmée par smoke test
SAVONS ORDINAIRES,savons ordinaires,T12,2.3.1,13,new,True,True,OK — catégorie confirmée par smoke test
SOLVESSO,solvesso,T12,2.3.1,13,new,True,True,OK — catégorie confirmée par smoke test
TALC,talc,T12,2.3.1,11,new,True,True,OK — catégorie confirmée par smoke test
"TOLES ET PRODUITS LAMINES, FIL DE FER, RAILS, PROFILES ET FER A BETON",toles et produits lamines fil de fer rails profiles et fer a beton,T12,2.3.3,29,new,True,True,OK — catégorie confirmée par smoke test
TOLUENE,toluene,T12,2.3.1,13,new,True,True,OK — catégorie confirmée par smoke test
TRANSACTIONS SPECIALES NDA,transactions speciales nda,T12,2.3.1,15,new,True,True,OK — catégorie confirmée par smoke test
"TUBES, TUYAUX ET POTEAUX METALLIQUES ET PRODUITS FERREUX NDA",tubes tuyaux et poteaux metalliques et produits ferreux nda,T12,2.3.3,29,new,True,True,OK — catégorie confirmée par smoke test
TUYEAUX EN PVC,tuyeaux en pvc,T12,2.3.2,22,new,True,True,OK — catégorie confirmée par smoke test
ŒUVRES ET OBJETS D’ART,uvres et objets dart,T12,2.3.2,20,new,True,True,OK — catégorie confirmée par smoke test
"VERRE, PRODUITS CERAMIQUES NDA",verre produits ceramiques nda,T12,2.3.1,14,new,True,True,OK — catégorie confirmée par smoke test
WHITE SPIRIT,white spirit,T12,2.3.1,10,new,True,True,OK — catégorie confirmée par smoke test
CONTENEURS DE GROUPAGE IMPORT DE DIVERSES MARCHANDISES NE,conteneurs de groupage import de diverses marchandises ne,T13,2.3.3,29,new,True,False,Catégorie T13 présente dans commodity_categories mais tarif PAD non confirmé par smoke test — à vérifier en DB
MARCHANDISES NE CONTENANT AUCUN P¨RODUIT DE CAT. T01,marchandises ne contenant aucun produit de cat t01,T13,2.3.1,15,new,True,False,Catégorie T13 présente dans commodity_categories mais tarif PAD non confirmé par smoke test — à vérifier en DB
"FIL MACHINE, BOBINE DE TOLES, FEUILLARD, FER BLANC",fil machine bobine de toles feuillard fer blanc,T14,2.3.1,11,new,True,False,Catégorie T14 présente dans commodity_categories mais tarif PAD non confirmé par smoke test — à vérifier en DB
